item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
157	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	Of all the people on this earth, one group has a special relationship with God because it believes the most in his revealed truths and tries the hardest to follow his laws.	Of all the people on this earth, one group has a special relationship with God because it believes the most in his revealed truths and tries the hardest to follow his laws.	Of all the people on this earth, not just one group has a special relationship with God because it believes the most in his revealed truths and tries the hardest to follow his laws.	Of all the people on this earth, no group has a special relationship with God because it believes the most in his revealed truths and tries the hardest to follow his laws.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	religion
158	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	The long-established traditions in religion show the best way to honour and serve God, and should never be compromised.	The long-established traditions in religion show the best way to honour and serve God, and should never be compromised.	The long-established traditions in religion don't show the best way to honour and serve God, and should never be compromised.	The long-established traditions in religion show the worst way to honour and serve God, and should never be compromised.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	FALSE
159	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	Religion must admit all its past failings, and adapt to modern life if it is to benefit humanity.	Religion must admit all its past failings, and adapt to modern life if it is to benefit humanity.	Religion doesn't have to admit all its past failings, and adapt to modern life if it is to benefit humanity.	Religion must never admit all its past failings, and adapt to modern life if it is to benefit humanity.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
160	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	When you get right down to it, there are only two kinds of people in the world: the Righteous, who will be rewarded by God; and the rest, who will not.	When you get right down to it, there are only two kinds of people in the world: the Righteous, who will be rewarded by God; and the rest, who will not.	When you get right down to it, there aren't only two kinds of people in the world: the Righteous, who will be rewarded by God; and the rest, who will not.	When you get right down to it, there aren't only two kinds of people in the world: the Righteous, who will be rewarded by God; and the rest, who will not.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	religion
161	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	Different religions and philosophies have different versions of the truth, and may be equally right in their own way.	Different religions and philosophies have different versions of the truth, and may be equally right in their own way.	It's not true that ifferent religions and philosophies have different versions of the truth, and may be equally right in their own way.	Different religions and philosophies don't have different versions of the truth, and cannot be equally right in their own way.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
162	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	The basic cause of evil in this world is Satan, who is still constantly and ferociously fighting against God.	The basic cause of evil in this world is Satan, who is still constantly and ferociously fighting against God.	It's not true that the basic cause of evil in this world is Satan, who is still constantly and ferociously fighting against God.	The basic cause of evil in this world isn't Satan, who is never constantly and ferociously fighting against God.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	FALSE
163	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	It is more important to be a good person than to believe in God and the right religion.	It is more important to be a good person than to believe in God and the right religion.	It isn't more important to be a good person than to believe in God and the right religion.	It is more important to believe in God and the right religion than to be a good person.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
164	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	No one religion is especially close to God, nor does God favor any particular group of believers.	No one religion is especially close to God, nor does God favor any particular group of believers.	Some religion is especially close to God, and God favors some particular group of believers.	Some religion is especially close to God, and God favors some particular group of believers.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
165	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	God will punish most severely those who abandon his true religion.	God will punish most severely those who abandon his true religion.	God won't punish most severely those who abandon his true religion.	God won't punish most severely those who abandon his true religion.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	FALSE
166	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	No single book of religious writings contains all the important truths about life.	No single book of religious writings contains all the important truths about life.	Some book of religious writings contains all the important truths about life.	All books of religious writings contains all the important truths about life.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
167	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	It is silly to think people can be divided into "the Good" and "the Evil." Everyone does some good, and some bad things.	It is silly to think people can be divided into "the Good" and "the Evil." Everyone does some good, and some bad things.	It isn't silly to think people can be divided into "the Good" and "the Evil." And it's not that everyone does some good, and some bad things.	It is wise to think people can be divided into "the Good" and "the Evil." People do either good or bad things.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
168	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	God's true followers must remember that he requires them to constantly fight Satan and Satan's allies on this earth.	God's true followers must remember that he requires them to constantly fight Satan and Satan's allies on this earth.	It's not true that God's true followers must remember that he requires them to constantly fight Satan and Satan's allies on this earth.	God's true followers must ignore that he requires them to constantly fight Satan and Satan's allies on this earth.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	religion
169	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	Parents should encourage their children to study all religions without bias, then make up their own minds about what to believe.	Parents should encourage their children to study all religions without bias, then make up their own minds about what to believe.	Parents shouldn't encourage their children to study all religions without bias, then make up their own minds about what to believe.	Parents should discourage their children to study any religion without bias, or to make up their own minds about what to believe.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
170	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	There is a religion on this earth that teaches, without error, God's truth.	There is a religion on this earth that teaches, without error, God's truth.	There isn't a religion on this earth that teaches, without error, God's truth.	All religions on this earth teach with error and never God's truth.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	religion
171	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	"Satan" is just the name people give to their own bad impulses. There really is no such thing as a diabolical "Prince of Darkness" who tempts us.	"Satan" is just the name people give to their own bad impulses. There really is no such thing as a diabolical "Prince of Darkness" who tempts us.	"Satan" isn't just the name people give to their own bad impulses. There is a thing such as a diabolical "Prince of Darkness" who tempts us.	"Satan" isn't just the name people give to their own bad impulses. There is a thing such as a diabolical "Prince of Darkness" who tempts us.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
172	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	Whenever science and sacred scripture conflict, science must be wrong.	Whenever science and sacred scripture conflict, science must be wrong.	When science and sacred scripture conflict, science does not have to be wrong.	Whenever science and sacred scripture conflict, science must be right.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	FALSE
173	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	There is no body of teachings, or set of scriptures, which is completely without error.	There is no body of teachings, or set of scriptures, which is completely without error.	There is some body of teachings, or set of scriptures, which is completely without error.	Every body of teachings, or set of scriptures is completely without error.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	low	Religious Fundamentalism	FALSE
174	This survey is part of an investigation of general public opinion concerning a variety of social issues. You will probably find that you agree with some of the statements, and disagree with others, to varying extents. Please indicate your reaction to each statement by blackening a bubble in SECTION 1 of the bubble sheet, according to the following scale: Blacken the bubble labeled –4 if you very strongly disagree with the statement. –3 if you strongly disagree with the statement. –2 if you moderately disagree with the statement –1 if you slightly disagree with the statement. Blacken the bubble labeled +1 if you slightly agree with the statement. +2 if you moderately agree with the statement. +3 if you strongly agree with the statement. +4 if you very strongly agree with the statement. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. If you feel exactly and precisely neutral about an item, blacken the “0" bubble. You may find that you sometimes have different reactions to different parts of a statement. For example, you might very strongly disagree (“–4") with one idea in a statement, but slightly agree (“+1") with another idea in the same item. When this happens, please combine your reactions, and write down how you feel on balance (a “–3" in this case).	TRUE	To lead the best, most meaningful life, one must belong to the one, true religion.	To lead the best, most meaningful life, one must belong to the one, true religion.	It's not true that to lead the best, most meaningful life, one must belong to the one, true religion.	To lead the worst, least meaningful life, one must belong to the one, true religion.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RFS	Religious Fundamentalism	TRUE	high	Religious Fundamentalism	FALSE
175	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Our country will be great if we honour the ways of our forefathers, do what the authorities tell us to do, and get rid of the "rotten applies" who are ruining everything.	Our country will be great if we honour the ways of our forefathers, do what the authorities tell us to do, and get rid of the "rotten applies" who are ruining everything.	Our country will not be great if we honour the ways of our forefathers, do what the authorities tell us to do, and get rid of the "rotten applies" who are ruining everything.	Our country will be terrible if we honour the ways of our forefathers, do what the authorities tell us to do, and get rid of the "rotten applies" who are ruining everything.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RWAS	Right Wing Authoritarianism	TRUE	high	Religious Fundamentalism	FALSE
176	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is wonderful that young people can protest anything they don't like, and act however they wish nowadays.	It is wonderful that young people can protest anything they don't like, and act however they wish nowadays.	It isn't great that young people can protest anything they don't like, and act however they wish nowadays.	It is terrible that young people can protest anything they don't like, and act however they wish nowadays.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RWAS	Right Wing Authoritarianism	TRUE	low	Religious Fundamentalism	age
177	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is always better to trust the judgment of the proper authorities in government and religion, than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.	It is always better to trust the judgment of the proper authorities in government and religion, than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.	It is not always better to trust the judgment of the proper authorities in government and religion, than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.	It is never better to trust the judgment of the proper authorities in government and religion, than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RWAS	Right Wing Authoritarianism	TRUE	high	Religious Fundamentalism	FALSE
178	Please read the following sentences and indicate your agreement or disagreement:	FALSE	People should pay less attention to the Bible and the other old traditional forms of religious guidance, and instead develop their own personal standards of what is moral and immoral.	People should pay less attention to the Bible and the other old traditional forms of religious guidance, and instead develop their own personal standards of what is moral and immoral.	People shouldn't pay less attention to the Bible and the other old traditional forms of religious guidance, and should not instead develop their own personal standards of what is moral and immoral.	People should pay more attention to the Bible and the other old traditional forms of religious guidance, instead of developing their own personal standards of what is moral and immoral.	(–4) Very strongly disagree; (–3) Strongly disagree; (–2) Moderately disagree; (–1) Slightly disagree; (0) Neutral; (+1) Slightly agree; (+2) Moderately agree; (+3) Strongly agree; (+4) Very strongly agree	RWAS	Right Wing Authoritarianism	TRUE	low	Religious Fundamentalism	FALSE
